job_name,company_name,jd,skills,date_posted,yoe,location,website,job_function,industry,specialization,qualification,hiring_location,role,vacancies
Python Engineer,East India Securities Ltd.,Job_Description   2  Years Of Experience Working With Python    Strong Analytical Skills    Ability To Churn Scripting Solutions With A Quick Turnaround Time    Inclination To Learn New Technologies    Preferably Background Knowledge Of Data Science / Machine Learning / Hadoop.,"Python,Hadoop,Machinelearning",Posted 5 Days Ago,2 - 5 Yrs,Kolkata,http://www.eisec.com/,It Software : Software Products & Services,"Petroleum/Oil And Gas/Power,  Construction/Cement/Metal/Steel/Iron",Software Engineer,AnyGraduate,,,
Python Developer,Dreamajax Technologies,"Python Developer B.E / B.Tech / Mca / M.Sc., Or Equivalent With 4  Years Of Strong Experience As A Python Developerstrong Hands On Experience On Core Python, Django And Flask Frameworks.Strong Experience Using Web Services And Api'S In Python.Should Work With Micro Services Architecture, Multi-Threaded Application Developmentexperience With Sql And Nosql Databasesstrong Understanding Of Software Development Life-Cycle And Best Practices.Must Be Able To Gather Requirements, Design, Code And Test Independently As Well As Work Jointly With The Team","Python,Django,Api,Sql,Nosql",Posted 6 Days Ago,4 - 7 Yrs,Bengaluru,,It Software : Software Products & Services,"Telecom,  It-Hardware/Networking",Software Engineer,"MCA/PGDCA




BE/B.Tech(Engineering)",,,
Python Developer,Innovator Web Solutions Pvt.Ltd.,"Job Category: Developmentjob Type: Full Timejob Location: Malad (W)We Are Looking For A Python Web Developer Responsible For Managing The Interchange Of Data Between The Server And The Users.Good To Have A Knowledge Of Django Web Frameworkknowledge Of Python Django Framework, Understanding Of Server-Side Scripting Languagesstrong Experience Using Web Services And Apis In Python.Hands On Python / Django Experience, Esp. With Mysql & Django Rest Frameworkminimum 5  Years Experience In Designing And Developing Applications Using Python.","Rest,Python,Django,Webdeveloper,Mysql,Api",Posted 6 Days Ago,5 - 8 Yrs,Mumbai,http://www.innovatorwebsolutions.com,It Software : Software Products & Services,"It-Hardware/Networking,  Telecom",Software Engineer,AnyGraduate,,,
Python - Odoo,Axistechnolabs,"Responsibilities : We Are Looking For Freshers Who Want To Grow Thier Career With Axis Technolabssuffering From Finding Dream Jobsit Skills Requires For Jobswe Can Help You To Make Your Future Bright In It Through Industry Based Training In Internship.We Also Provide Internship   100 Percent  Job Placement.Axis Technolabs Providing 3 Months Internship Program In Python - Odoo Technology.We Build Your Skills To Get Your Dream Job.Intern'S Day-To-Day Responsibilities :- Get Knowledge Of Core Python And Programming Concepts- Odoo Modules Learning Process- Learn About Front-End Development With Html5, Css3 And Jquery, Angular- Backend Development Learning Process With Postgressql Databases- Get Knowledge Of Working With Api- Work On Ongoing Live Projects And Sharpen Your Skillsrecently Passed Be, Bca, Bsc Msc-It, Me, B.Tech, M.Tech - Students Can Also Apply For Internship.Send Your Cv / Resume At Hr@Axistechnolabs.Comspecify Subject : Internship","Python,Django,Itskills,Html5,Api,Jquery",Posted 6 Days Ago,0 - 1 Yrs,Ahmedabad,http://www.axistechnolabs.com,It Software : Software Products & Services,"It-Hardware/Networking,  Telecom",Software Engineer,"MCA/PGDCA




BCA(ComputerApplication)",,,
Python Developer,Pearl Global Solutions,"Python Developer  Django Job Type : Full Time, Employeeexperience : 4  Years Of Experience In Python.Education : B.Tech/Mcaqualities Sought-Out In The Desired Candidate: Strong Knowledge Of Django Frameworks.Experience With Desktop And Online Versions.Good Expertise In Database (Sql).Excellent Written And Verbal Communication Skills In English.Team Player.","Python,Database,Django,Teamplayer,Sql",Posted 6 Days Ago,4 - 7 Yrs,Cochin,https://pearlglobalsolutions.com/,It Software : Software Products & Services,"It-Hardware/Networking,  Telecom",Software Engineer,AnyGraduate,,,
Python Developer,Ivan Infotech Pvt. Ltd.,"We Are Looking For A Python Developer To Join Our Development Team. Python Developer Responsibilities Include Writing And Testing Code, Debugging Programs And Integrating Applications With Third-Party Web Services. To Be Successful In This Role, You Should Have Experience Using Server-Side Logic And Work Well In A Team.Responsibilities Write Effective, Scalable Codedevelop Back-End Components To Improve Responsiveness And Overall Performanceintegrate User-Facing Elements Into Applicationstest And Debug Programsimprove Functionality Of Existing Systemsimplement Security And Data Protection Solutionsassess And Prioritize Feature Requestscoordinate With Internal Teams To Understand User Requirements And Provide Technical Solutions.Requirements Should Have Minimum 2 Years Relevant Experience.Experience In Writing Rest Apis In Python/Flask.Database Design And Management.Integration And Continuous Deploymentgood Handle On Object-Oriented Programming.","Rest,Python,Security,Debugging",Posted Few Days Ago,2 - 5 Yrs,Kolkata,https://www.ivaninfotech.com/,It Software : Software Products & Services,"It-Hardware/Networking,  Telecom",Software Engineer,AnyGraduate,,,
Python Developer,Connecting 2 Work,"We Are Looking For An Experienced Python Developer To Join Our Engineering Team And Help Us Create Dynamic Software Applications For Our Clients. In This Role, You Will Be Responsible For Writing And Testing Scalable Code, Developing Back-End Components, And Integrating User-Facing Elements In Collaboration With Front-End Developers.To Be Successful As A Python Developer, You Should Possess In-Depth Knowledge Of Object-Relational Mapping, Experience With Server-Side Logic, And Above-Average Knowledge Of Python Programming. Ultimately, A Top-Class Python Developer Is Able To Design Highly Responsive Web Applications That Perfectly Meet The Needs Of The Client.Responsibilities: Coordinating With Development Teams To Determine Application Requirements.Writing Scalable Code Using Python Programming Language.Testing And Debugging Applications.Developing Back-End Components.Integrating User-Facing Elements Using Server-Side Logic.Assessing And Prioritizing Client Feature Requests.Integrating Data Storage Solutions.Coordinating With Front-End Developers.Reprogramming Existing Databases To Improve Functionality.Developing Digital Tools To Monitor Online Traffic.Requirements: Bachelors Degree In Computer Science, Computer Engineering, Or Related Field.1.5- 3 Years Of Experience As A Python Developer.Expert Knowledge Of Python And Related Frameworks Including Django And Flask.A Deep Understanding And Multi-Process Architecture And The Threading Limitations Of Python.Familiarity With Server-Side Templating Languages Including Jinja 2 And Mako.Ability To Integrate Multiple Data Sources Into A Single System.Familiarity With Testing Tools.Ability To Collaborate On Projects And Work Independently When Required.","Python,Storage,Django,Testingtools,Debugging",Posted Few Days Ago,5 - 10 Yrs,Thiruvananthapuram,http://www.connecting2work.com,It Software : Software Products & Services,Consulting Services,Software Engineer,AnyGraduate,,,
Python Developer,Sourcedesk Global Private Limited,"Sourcedesk Global Is Looking For An Experienced Python Developer To Join Our Engineering Team And Help Us Create Dynamic Software Applications For Our Clients. To Be Successful As A Python Developer, You Should Possess In-Depth Knowledge Of Object-Relational Mapping, Experience With Server-Side Logic, And Above-Average Knowledge Of Python Programming. Ultimately, A Top-Class Python Developer Is Able To Design Highly Responsive Web-Applications That Perfectly Meet The Needs Of The Client.We Are Offering Superb Career Growth Opportunities, Great Compensation And Benefits.Python Developer Responsibilities: Coordinating With Development Teams To Determine Application Requirements. Write Reusable, Testable, And Efficient Code Using Python Programming Language. Design And Execute Low-Latency, High-Availability, And High-Performing Applications. Good Understanding Of Sdlc And Agile Methodologies. Integrate Back-End Python-Based Modules With User-Interface Elements Developed By Front-End Developers. Integrating User-Facing Elements Using Server-Side Logic. Integrating Data Storage Solutions. Designing, Building, Testing, And Deploying Services And Apis That Will Be Integral To Our Products. Reprogramming Existing Databases To Improve Functionality. Developing Digital Tools To Monitor Online Traffic.Skills Required: Previous Working Experience As A Python Developer For 3  Years. Bs/Ms Degree In Computer Science, Engineering Or A Related Subject. Hands On Experience With Django, Flask Or Other Python Frameworks Good Understanding Of Server-Side Templating Languages Such As Jinja 2, Mako, Etc Basic Understanding Of Front-End Technologies, Such As Javascript, Html5, And Css3 Familiarity With Some Orm (Object Relational Mapper) Libraries. Ability To Integrate Multiple Data Sources Into A Single System. Experience With Aws Or Other Cloud Infrastructure. Ability To Collaborate On Projects And Work Independently When Required.","Html5,Storage,Python,Javascript,Django,Infrastructure",Posted Few Days Ago,3 - 15 Yrs,Kolkata,http://www.sourcedeskglobal.com,It Software : Software Products & Services,Others - Other Industry,Software Engineer,"ME/M.Tech./MS(Engg/Sciences)




AnyGraduate",,,
Python Developer,Glan Management Consultancy Pvt. Ltd.,":We Are Hiring A Python Developer With Minimum 4 To 5 Years Of Experience In Building Highly Scalable Solutions Based On A Micro Services Architecture, You Will Be Working With A Highly Skilled Cross-Functional Team To Enhance The Core-Banking Platform. 5  Years Of Experience In Software Development. (Mandatory) Experience With Cloud Computing And Container-Based Distributed Systems (Docker). Experience Working With Relational Databases (Preferably Mysql) And Strong Proficiency With Sql. Understanding Of Higher-Level Rdbms Concepts (Locking And Transaction Model, Isolation Levels, Deadlocks, Etc.).Key Skill:Python Developer. Python,","Python,Rdbms,Mysql,Cloudcomputing,Docker,Sql",Posted Few Days Ago,5 - 8 Yrs,Noida,http://www.glansolutions.com/,It Software : Software Products & Services,Consulting Services,Software Engineer,AnyGraduate,,,
Python Developer,Canvera Traders Private Limited,"Role & Responsibilities:Solid Experience As Backend Developer Of At Least 5 Years In Total: Out Of Which At Least Last 2 Years In Python.Experience With Python Frameworks (E.G. Django, Flask)Experience Developing Microservices In The Cloud.Analyze, Design And Develop Scalable Services And Components.Design, Implement, Test, And Support Internal And External Apis And Services.Build Efficient Back-End Features In Python.Integrate Front-End Components Into Applications.Manage Testing And Bug Fixes.Prepare Technical Documentation.Collaborate With Ux/Ui Designers To Implement Design Into The Code.Should Have Knowledge Of Deployment To Local And Cloud Servers.Mentoring Junior Team Members.Implement Software Enhancements And Suggest Improvements.Skills Required:Understanding Of Rdbms And Sqlknowledge Of Javascript Is A Plus.Python Apis, The Remaining Experience Can Be In Python/Java.Experience Developing And Working With Restful Web Services Is Required. Spring Core, Spring Boot Experience Is A Big Plus.","Python,Rdbms,Javascript,Sql,Spring,Springboot,Django,Java",Posted 2 Days Ago,5 - 8 Yrs,Bengaluru,http://www.canvera.com,It Software : Software Products & Services,"It-Hardware/Networking,  Telecom",Software Engineer,AnyGraduate,,,
