"word","word_count"
"Pythontestautomation,Flashbootloadertesting,Serialcommunicationprotocols,Requirementsengineering,Qualitymanagement,Testcases,Security,Testingtools,Defectmanagement,Perl,Testdesign,Infrastructure,Agile","24"
"","14"
"Angularjs,Maven,Hibernate,Jsp,Datastructures,Spring,Jquery,Rest,Java,Linux,Uidevelopment,Javascript,Javadevelopment,Jdbc,Php,Asp.Net,Servlets,J2Ee,Tomcat","10"
"Html5,Ajax,Xml,Json,Debugging,Rest,Javascript","9"
"Linux,Xml,Regex,Linuxcommands,Sqlqueries,Exceptions","8"
"Html5,Javascript,Softwareengineering","7"
"Webdesigner,Graphicdesigner,Uidesigner,Seniorwebdesigner,Html,Java,Sql,C","6"
"Css,Html,Javascript","6"
"Css,Oops,Debugging,Html,Javascript","6"
"Css,Html,Forms,Javascript","6"
"Git,Html,Javascript","6"
"Html5,Bootstrap,Javascript,Jquery","6"
"San,Css,Html,Javascript,Jquery","6"
"Pythontestautomation,Flashbootloadertesting,Serialcommunicationprotocols,Requirementsengineering,Measurement/Testingtools,Testcases,Security,Defectmanagement,Perl,Testdesign,Infrastructure,Agile","6"
"Css,Mobile,Html,Javascript","6"
"Rest,Css,Html,Javascript","6"
"Css,Html,Teamplayer,Javascript","6"
"Orchestration,Hibernate,Docker,Spring,Java,Devops,Softwareengineering,Python,Systemprogramming,Ruby","6"
"Css,Html,Javascript,Jquery","6"
"Css,Html,Bootstrap,Javascript","6"
"Css,Html5,Javascript,Jquery,Html","6"
"React.Js,Css,Html,Javascript","5"
"Pythontestautomation,Flashbootloadertesting,Serialcommunicationprotocols,Requirementsengineering,Scriptinglanguages,Testcases,Security,Testingtools,Defectmanagement,Perl,Testdesign,Infrastructure,Agile","5"
"Css,Html5,Bootstrap,Filesystem,Javascript,Infrastructure,Html,Api","5"
"Basicexcel,Msofficehrrecruitment","5"
"Css,Html5,Bootstrap,Javascript","4"
"Css,Html,Jquery","4"
"Css,Wordpress,Javascript,Jquery,Php,Html,Asp","4"
"Css,Html5,Jquery","4"
"Html5,Javascript,Jquery","4"
"Sql,Python,Aws,Snowflake,Jira,C,Scala,Infrastructure,Bigdata","4"
"Python,Sql,Databaseknowledge,Writingsqlqueries,Dataanalysis,Json,Globaldelivery,Adf,Writtencommunication","4"
"Oracle,Problemsolving,Sql","4"
"Css,Javascript,Jquery,Xml,Html","4"
"Dataentryoperator,Computerassistant,Dataentry,40Wpm,Excel,Msoffice,Powerpoint,Advancedexcel","4"
"Html,Javascript,Onlineadvertisingcampaigns","4"
"C#,Css,Html5,Softwaredesign,Javascript,Jquery,Xml,Asp.Net","4"
"Wordpress,Html5,Bootstrap,Jquery,Security,Webdeveloper,Forms","4"
"Python,Testautomation,Requirementanalysis,Testdesign,Testexecution,Testcases,Security,Testingtools,Defectmanagement,Perl,Infrastructure,Agile","4"
"Sybase,Javadeveloper,Spring,Database,Java,Xml,Systemdevelopment,Linux","4"
"Softwaredevelopment,Technicalsupport,Scripting,Troubleshooting,Debugging,Rest,Xml,Json","4"
"Css,Bootstrap,Javascript,Html,Magento","4"
"Reporting,Reconciliation,Excel","4"
"Netezza,Ssas,Datastage,Sql,Xml,Etl,Ssis,Unix","3"
"Css,Debugging,Html,Javascript,Jquery","3"
"Css,Git,Html,Svn,Javascript","3"
"Css,Jquery,Html,Javascript,Infrastructure","3"
"Rest,San,Python,Oracle,Django,Git,Postgresql,Writtencommunication,Mysql,Forms","3"
"Html5,Javascript,Jquery,Css","3"
"Python,Css,Linux,Javascript","3"
"Reports,Excel,Finance,Ca,Cfa","3"
"Css,Html5,Bootstrap,Javascript,Jquery","3"
"Css,Html,Bootstrap,Javascript,Jquery","3"
"Css,Html5,Javascript,Jquery,Html,Angularjs","3"
"Css,Html5,Ajax,Javascript,Docker,Git","3"
"Excel,Reports,Reportpreparation,Mis,Teamplayer","3"
"Css,Sql,.Net,Html","3"
"Releasemanager,Devops,Maven,Svn","3"
"Javascript,Reactjs,Css,Html,Ui/Uxdesigns,Css,Bootstrap,Jquery,D3.Js,Asp.Net,Oops,Html,Mvc,C#,Mobile,Problemsolving,Javascript","3"
"Css,Html5,Jquerymobile,Mobile,Phonegap,Angularjs,Javascript,Jquery","3"
"Mobile,Java,Xml,J2Ee,Json,Mysql","3"
"Css,Bootstrap,Javascript,Html","3"
"Css,Html5,Html,Bootstrap,Javascript,Jquery","3"
"Css,Html5,Jsp,Ajax,Jquery,Backbone.Js,Database,Java,Apache,Xml,Json,Debugging,Html,Mysql,Mvc,Oracle,Problemsolving,Javascript,Servlets,Php,Angularjs","3"
"Python,Css,Github,Hosting,Bugfixing,Bootstrap,Javascript,Jquery,Django,Heroku,Json,Html,Api","3"
"Css,Database,Postgresql,Debugging,Html,Mysql,Rest,San,Python,Javascript,Django,Forms","3"
"Javascript,Css3,Html5,Jsframework,Oop,Css,Html5,Seniorsoftwareengineer,Filesystem,Oop,Database,Java,Multithreading,Api,Oojs,Javascript,Infrastructure,Angularjs","3"
"Css,Microsoft.Net,Html,Javascript","3"
"Gwt,Jee,Hibernate,Javadeveloper,Sql,Wicket,Springframework,Memorymanagement,Java,Springmvc,Javaee,Jsf","3"
"Css,Mobile,Storage,Javascript,React.Js,Html","3"
"Css,Xml,Html","3"
"Java,Jsp,Servlets,Struts,Hibernate,Springs,Jdbc,Eclipse,J2Ee,Tomcat","3"
"Css,Webdevelopment,Html,Javascript","3"
"Css,C,Bootstrap,Javascript,Html","3"
"Css,Shopify,Debugging,Html,Javascript","3"
"Javascript,Jquery,Css,Html,Mysql,Css,Html5,Wordpress,Jquery,Xml,Mysql,Phonegap,Oojs,Mobile,Problemsolving,Knockoutjs,Javascript,Eclipse,Php,Angularjs","3"
"Css,Html,Angularjs,Javascript","3"
"Java,Php,Html,Javascript","3"
"Css,Javascript,Git,Json,Html","3"
"Css,Mobile,Javascript,Jquery,Html","3"
"Css,Html5,Html,Javascript","3"
"Css,C,Html,Javascript,Jquery","3"
"Sql,Database,San,Forms","3"
"Security,Devops,Linux,Jam,Games,Perl,Python,Simulator,Mobile,Ruby,Infrastructure,Unix","3"
"Css,Html5,Json,Html,Jquery,Javascript","3"
"Supplychain,Customerservice,Excel,Sap,Fresher","3"
"Css,Javascript,Uml,Html","3"
"Pythontestautomation,Flashbootloadertesting,Serialcommunicationprotocols,Requirementsengineering,Agilescrum/Kanbandevelopmentprocess,Testcases,Security,Testingtools,Defectmanagement,Perl,Testdesign,Infrastructure","3"
"Css,Html5,Javascript,Jquery,Webdeveloper,Html","3"
"Restapi,Javascript,Integratingrestful","3"
"Html5,Sql,Docker,Elasticsearch,Security,Database,Git,Devops,Linux,Debugging,Rest,Python,Github,Os,Machinelearning,Javascript,Django","3"
"Python,Css,Javascript,Jquery,Html","3"
"Algorithms,Css,Sem,Html,Javascript","3"
"Html5,Css3,Javascript","3"
"Css,Jquery,Javascript,Git,Html,Api","3"
"Css,Html5,Html,Javascript,Jquery","3"
"Css,Mobile,Html,Api,Javascript","3"
"Css,Github,Html,Javascript","3"
