"location","job_name","total_vacancy"
"(More Jobs)","Subject Matter Expert  ( Accounting )","80"
"(More Jobs)","Vacancy For Data Entry Executive","50"
"(More Jobs)","Vacancy For Computer Cum Data Entry Operator","50"
"(More Jobs)","Php Developer Required In Canada","27"
"(More Jobs)","Php Developer Required In Singapore","27"
"(More Jobs)","Java Html Tech Support With Excellent  Skills Immediate Joining","25"
"(More Jobs)","Mern Stack Developer , Full Stack Javascript Developer","20"
"(More Jobs)","Mis Executive-Female","10"
"(More Jobs)","Research Analyst  ( Industry Research ) -Mnc-Bhayander","5"
"(More Jobs)","Accountant","2"
